Package,Day,Location,Hotels,Meal,Room_Category,Season
14,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,3,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,4,Kandy,Kandy Hills,HB,Deluxe,Winter
14,5,Kandy,Kandy Hills,HB,Deluxe,Winter
14,6,Nuwara Eliya,The Ramp,HB,Standard,Winter
14,7,Nuwara Eliya,The Ramp,HB,Standard,Winter
14,8,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
14,9,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
14,10,Yala,Oak Ray Wild,HB,Super deluxe,Winter
14,11,Mirissa,Randiya Sea View,HB,Pool View,Winter
14,12,Mirissa,Randiya Sea View,HB,Pool View,Winter
14,13,Mirissa,Randiya Sea View,HB,Pool View,Winter
14,14,Departure,,,,Winter
13,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
13,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
13,3,Kandy,Kandy Hills,HB,Deluxe,Winter
13,4,Nuwara Eliya,The Ramp,HB,Standard,Winter
13,5,Nuwara Eliya,The Ramp,HB,Standard,Winter
13,6,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
13,7,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
13,8,Yala,Oak Ray Wild,HB,Super deluxe,Winter
13,9,Mirissa,Randiya Sea View,HB,Pool View,Winter
13,10,Mirissa,Randiya Sea View,HB,Pool View,Winter
13,11,Mirissa,Randiya Sea View,HB,Pool View,Winter
13,12,Mirissa,Randiya Sea View,HB,Pool View,Winter
13,13,Departure,,,,Winter
12,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
12,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
12,3,Sigirya,Nivadoo Resort,HB,Chalet,Winter
12,4,Kandy,Kandy Hills,HB,Deluxe,Winter
12,5,Nuwara Eliya,The Ramp,HB,Standard,Winter
12,6,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
12,7,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
12,8,Yala,Oak Ray Wild,HB,Super deluxe,Winter
12,9,Mirissa,Randiya Sea View,HB,Pool View,Winter
12,10,Mirissa,Randiya Sea View,HB,Pool View,Winter
12,11,Mirissa,Randiya Sea View,HB,Pool View,Winter
12,12,Departure,,,,Winter
11,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
11,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
11,3,Kandy,Kandy Hills,HB,Deluxe,Winter
11,4,Nuwara Eliya,The Ramp,HB,Standard,Winter
11,5,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
11,6,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
11,7,Yala,Oak Ray Wild,HB,Super deluxe,Winter
11,8,Mirissa,Randiya Sea View,HB,Pool View,Winter
11,9,Mirissa,Randiya Sea View,HB,Pool View,Winter
11,10,Mirissa,Randiya Sea View,HB,Pool View,Winter
11,11,Departure,,,,Winter
10,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
10,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
10,3,Kandy,Kandy Hills,HB,Deluxe,Winter
10,4,Nuwara Eliya,The Ramp,HB,Standard,Winter
10,5,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
10,6,Yala,Oak Ray Wild,HB,Super deluxe,Winter
10,7,Mirissa,Randiya Sea View,HB,Pool View,Winter
10,8,Mirissa,Randiya Sea View,HB,Pool View,Winter
10,9,Mirissa,Randiya Sea View,HB,Pool View,Winter
10,10,Departure,,,,Winter
9,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
9,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
9,3,Kandy,Kandy Hills,HB,Deluxe,Winter
9,4,Nuwara Eliya,The Ramp,HB,Standard,Winter
9,5,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
9,6,Yala,Oak Ray Wild,HB,Super deluxe,Winter
9,7,Mirissa,Randiya Sea View,HB,Pool View,Winter
9,8,Mirissa,Randiya Sea View,HB,Pool View,Winter
9,9,Departure,,,,Winter
8,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
8,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
8,3,Kandy,Kandy Hills,HB,Deluxe,Winter
8,4,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
8,5,Yala,Oak Ray Wild,HB,Super deluxe,Winter
8,6,Mirissa,Randiya Sea View,HB,Pool View,Winter
8,7,Mirissa,Randiya Sea View,HB,Pool View,Winter
8,8,Departure,,,,Winter
7,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
7,2,Kandy,Kandy Hills,HB,Deluxe,Winter
7,3,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
7,4,Yala,Oak Ray Wild,HB,Super deluxe,Winter
7,5,Mirissa,Randiya Sea View,HB,Pool View,Winter
7,6,Mirissa,Randiya Sea View,HB,Pool View,Winter
7,7,Departure,,,,Winter
14,1,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,2,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,3,Sigirya,Nivadoo Resort,HB,Chalet,Winter
14,4,Kandy,Kandy Hills,HB,Deluxe,Winter
14,5,Kandy,Kandy Hills,HB,Deluxe,Winter
14,6,Nuwara Eliya,The Ramp,HB,Standard,Winter
14,7,Nuwara Eliya,The Ramp,HB,Standard,Winter
14,8,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
14,9,Ella,Morning Dew,HB,Deluxe with Mountain view,Winter
14,10,Yala,Oak Ray Wild,HB,Super deluxe,Winter
