QUESTIONS,ANSWERS
Difference between tourist driver and  English Speaking chauffeur guide,"English-Speaking Tourist Driver: Possesses local knowledge but may can't provide detailed information at certain sites due to the
 absence of a guiding license.

English-Speaking Chauffeur Guide: Holds a guiding license and offers comprehensive information and expert guidance 
about destinations, attractions, and cultural sites"
How to apply for Visa?,"All tourists with no Visa will have to apply for Visa on Arrival until the foremer Electronic Travel Authorization (ETA) system is reestablished.

Please visit https://www.immigration.gov.lk/index_e.php for any further information."
Is Visa Free?,Only in effect from 1st October 2024.
What countries are Visa free?,Please visit https://www.immigration.gov.lk/index_e.php for any further information.
Do you work on Visa?,No We do not provide visa services.
How many days required to travel?,"7 days or more,  You can explore the key highlights, cultural triangle, nature, wildlife, 
or enjoy a relaxing beach getaway"
Our tours private or with group?,"Our tours are private, providing a personalized experience to your preferences. 
You’ll have a dedicated tourist driver to assit you."
Can i have a car for 3 adults?,"Apologies, but the car has a maximum capacity of two adults. However, we can arrange a flat-roof van for you"
How much luggage space for 6 people in the van?,Suitable for six adults with small luggage.
Do you have baby seat?,"Yes, depending on availability, we can provide a company baby seat, or we can outsource one for you at an additional cost"
What are the best beaches to visit in October?,We recommend visiting Trincomalee and Pasikudah from May to October
Where is best to surf in October?,"Arugam Bay is ideal for surfing, with the best conditions typically between April and October"
Can I climb Adams peak?,"The season runs from December to May, and you can climb at night to reach the summit by sunrise. 
During the rest of the year, you can climb during the day, but it will be the wet season, 
so expect foggy conditions, and the top temple will be closed"
When can i see Perahara?,"In Kandy, the dates for August are yet to be announced"
"Its raining in Sri lanka, but can we visit?","If you visit during the rainy season, the plan will be adjusted based on the specific month of your visit"
Can I have a day tour ?,"Unfortunately, we don’t offer day tours. We only provide continuous trips with a minimum duration of 4 days."
Do you do flights?,Currently we don't handle flight bookings.
How to pay??,Online Bank Transfer / Western Union. Remaining in cash on arrival.
Can we sleep in the national park?,"You can’t stay overnight inside the park, but you can find accommodation around or near the park’s border."
Where Can i see leopard.,"In Yala / Wilpattu but Leopard visibility is low as they tend to hide, but these are the parks where leopards are known to be present"
Whats the best safari?,"It depends on your preferences; we recommend Yala, Minneriya, Udawalawe, or Wilpattu"
Can a 2 year old child go on a jeep safari?,Safaris are generally suitable for children over the age of 3 years.
Can we do both morning and evening safaris?,Yes it is possible.
Will our jeep safari be a private one?,Yes
What are the extra activities available in Ella?,"Hiking and Trekking,Tea Factory Tours,Ella Village Walk,Mountain Biking,ATV Rides, Ziplining"
Which is the most scenic train ride?,The most scenic train ride in Sri Lanka is from Nanuoya Railway Station to Ella Railway Station.
How long will the train ride from Nanu oya station to Ella station?,It will take around 2-3 hours.
What are the romantic activities we can do during our Sri Lanka Tour?,"Boat Rides, Nature walks, Candlelight or private dinner on the beach, Couple massage/spa sessions, Hikes & treks, Scuba diving"
Can we pay in LKR or USD during the tour?,"For entrances, Both Sri Lankan Rupees (LKR) and US Dollars (USD) are accepted.
Most local restaurants, shops, and markets will accept payment in Sri Lankan Rupees."
How much will be the average cost for a meal in Sri Lanka?,"Authentic Sri Lankan meal will cost around 5-7 USD per person. International fast food chains, expect to pay around 7-10 USD for a meal.
High-end Restaurants 20-25 USD per meal"
Is Sigiriya a hard climb for an elderly person?,"Climbing Sigiriya Rock can be challenging, especially for elderly individuals or those with limited mobility.The climb is approximately 200 meters (656 feet) high, and it generally takes about 1.5 to 2 hours to complete."
Can we climb Sigiriya with a toddler?,"Climbing Sigiriya Rock with a toddler can be challenging due to the safety concerns associated with the climb. If you plan to carry your toddler, a well-fitted, comfortable child carrier is recommended."
How many steps are there to climb to the top of Sigiriya?,"The ascent involves a steep and somewhat strenuous climb with over 1,200 steps."
What would be the average amount when tipping?,Tipping is a common practice to show appreciation for good service. The amounts can vary. Adjust the tip based on the level of service provided.
Can we reach to the top of the mountain by car or van when we visit Ambuluwawa Tower?,"You can reach the base of the tower by car, van or tuktuk."
Can we change the places we would like to visit during the tour?,Yes you can change the places you would like to visit during the tour after communicating with the tour consultant. But you will have to bear the cost for additional milage or any other expenses related to that.
Can I use my drone to take photos and videos in Sri Lanka?,"Using a drone to take photos and videos in Sri Lanka is subject to specific regulations and restrictions. According to the SLCAA, you need permission to operate a drone for recreational or commercial purposes."
Are there any restricted areas in Sri Lanka when flying a drone?,"There are restricted areas where drone flights are not allowed, such as near airports, military bases, government buildings, and certain cultural and historical sites."
How do we get permission to use my drone in Sri Lanka?,"Apply for a permit from the Sri Lanka Civil Aviation Authority well in advance of your intended flight..For specific locations, contact local authorities or site managers to get permission for drone use. https://caa.lk/en/drones#register-your-drone"
